ID,Language_ID,Form,Language,Parameter_ID,Value,Concept,Elicitation_phrase,,,,
,vwa-mangjing,,Mangjing,50,[did not use a classifier],classifier for king,one king,,,,
,vwa-mangjing,,Mangjing,51,[did not use a classifier],classifier for aeroplane,one aeroplane,,,,
,vwa-mangjing,,Mangjing,52,[did not use a classifier],classifier for tiger,one tiger,,,,
,vwa-mangjing,,Mangjing,53,?,classifier for kettle,one kettle,,,,
,vwa-mangjing,,Mangjing,54,?,classifier for drum,one drum,,,,
,vwa-mangjing,,Mangjing,55,[did not use a classifier],classifier for egg,one egg,,,,
,vwa-mangjing,,Mangjing,56,[did not use a classifier],classifier for eye ,one eye ,,,,
,vwa-mangjing,,Mangjing,57,[did not use a classifier],classifier for arrow,one arrow,,,,
,vwa-mangjing,,Mangjing,58,[did not use a classifier],classifier for biscuit ,one biscuit ,,,,
,vwa-mangjing,,Mangjing,59,[did not use a classifier],classifier for mushroom ,one mushroom ,,,,
,vwa-mangjing,,Mangjing,60,[did not use a classifier],classifier for street ,one street ,,,,
,vwa-mangjing,,Mangjing,61,[did not use a classifier],classifier for comb,one comb,,,,
,vwa-mangjing,,Mangjing,62,?,classifier for cow ,one cow ,,,,
,vwa-mangjing,,Mangjing,63,?,classifier for bull,one bull,,,,
,vwa-mangjing,,Mangjing,64,rɔm,classifier for bamboo,one bamboo,,,,
,vwa-mangjing,,Mangjing,65,?,classifier for scar,one scar,,,,
,vwa-mangjing,,Mangjing,66,?,classifier for child,one child,,,,
,vwa-mangjing,,Mangjing,67,?,classifier for chilli,one chilli,,,,
,vwa-mangjing,,Mangjing,68,?,classifier for sound,one sound,,,,
,vwa-mangjing,,Mangjing,69,?,classifier for bag,one bag,,,,
,vwa-mangjing,,Mangjing,70,?,classifier for toothbrush,one toothbrush,,,,
,vwa-mangjing,,Mangjing,71,?,classifier for ear,one ear,,,,
,vwa-mangjing,,Mangjing,72,?,classifier for paper,one paper,,,,
,vwa-mangjing,,Mangjing,73,?,classifier for mirror,one mirror,,,,
,vwa-mangjing,,Mangjing,74,?,classifier for book,one book,,,,
,vwa-menglian,,Menglian,1,mu,classifier for dog ,one dog,,,,
,vwa-menglian,,Menglian,2,mu,classifier for cat ,one cat,,,,
,vwa-menglian,,Menglian,3,mu,classifier for chicken ,one chicken ,,,,
,vwa-menglian,,Menglian,4,mu,classifier for pig ,one pig ,,,,
,vwa-menglian,,Menglian,5,mu,classifier for cow ,one cow ,,,,
,vwa-menglian,,Menglian,6,mu,classifier for snake ,one snake ,,,,
,vwa-menglian,,Menglian,7,mu,classifier for fish ,one fish ,,,,
,vwa-menglian,,Menglian,8,mu,classifier for hat ,one hat ,,,,
,vwa-menglian,,Menglian,9,blʌ,classifier for trousers ,one trousers ,,,,
,vwa-menglian,,Menglian,10,blʌ,classifier for shirt ,one shirt ,,,,
,vwa-menglian,,Menglian,11, dui,classifier for chopstick (pair) ,one chopstick (pair) ,,,,
,vwa-menglian,,Menglian,12,mu,classifier for chopstick (single) ,one chopstick (single) ,,,,
,vwa-menglian,,Menglian,13,dui,classifier for shoe (pair),one shoe (pair),,,,
,vwa-menglian,,Menglian,14,mu,classifier for shoe (single),one shoe (single),,,,
,vwa-menglian,,Menglian,15,mu,classifier for cushion ,one cushion ,,,,
,vwa-menglian,,Menglian,16,mu,classifier for flower ,one flower ,,,,
,vwa-menglian,,Menglian,17,mu,classifier for tree ,one tree ,,,,
,vwa-menglian,,Menglian,18,?,classifier for house,one house,,,,
,vwa-menglian,,Menglian,19,?,classifier for table ,one table ,,,,
,vwa-menglian,,Menglian,20,?,classifier for chair ,one chair ,,,,
,vwa-menglian,,Menglian,21,mu,classifier for pen ,one pen ,,,,
,vwa-menglian,,Menglian,22,mu,classifier for spoon ,one spoon ,,,,
,vwa-menglian,,Menglian,23,gɔŋ,classifier for noodle ,one noodle ,,,,
